symbol,name,token
011NSETEST-EQ,011NSETEST,14747
021NSETEST-EQ,021NSETEST,14751
031NSETEST-EQ,031NSETEST,14753
041NSETEST-EQ,041NSETEST,14755
051NSETEST-EQ,051NSETEST,14758
061NSETEST-EQ,061NSETEST,14762
071NSETEST-EQ,071NSETEST,14764
081NSETEST-EQ,081NSETEST,14767
091NSETEST-EQ,091NSETEST,14769
101NSETEST-EQ,101NSETEST,14772
111NSETEST-EQ,111NSETEST,14774
11NSETEST-EQ,11NSETEST,12841
121NSETEST-EQ,121NSETEST,14777
131NSETEST-EQ,131NSETEST,14778
141NSETEST-EQ,141NSETEST,14781
151NSETEST-EQ,151NSETEST,14782
161NSETEST-EQ,161NSETEST,14784
171NSETEST-EQ,171NSETEST,23446
181NSETEST-EQ,181NSETEST,23447
20MICRONS-EQ,20MICRONS,16921
21STCENMGM-EQ,21STCENMGM,4
360ONE-EQ,360ONE,13061
3IINFOLTD-EQ,3IINFOLTD,6232
3MINDIA-EQ,3MINDIA,474
3PLAND-EQ,3PLAND,2595
5PAISA-EQ,5PAISA,445
63MOONS-EQ,63MOONS,11868
AAATECH-EQ,AAATECH,12533
AADHARHFC-EQ,AADHARHFC,23729
AARON-EQ,AARON,1030
AARTECH-EQ,AARTECH,17145
AARTIDRUGS-EQ,AARTIDRUGS,4481
AARTIIND-EQ,AARTIIND,7
AARTIPHARM-EQ,AARTIPHARM,13868
AARVI-EQ,AARVI,19073
AAVAS-EQ,AAVAS,5385
ABAN-EQ,ABAN,10
ABB-EQ,ABB,13
ABBOTINDIA-EQ,ABBOTINDIA,17903
ABCAPITAL-EQ,ABCAPITAL,21614
ABDL-EQ,ABDL,24308
ABFRL-EQ,ABFRL,30108
ABGSEC-EQ,ABGSEC,24404
ABLBL-EQ,ABLBL,756843
ABREL-EQ,ABREL,625
ABSLAMC-EQ,ABSLAMC,6018
ABSLBANETF-EQ,ABSLBANETF,13987
ABSLLIQUID-EQ,ABSLLIQUID,14518
ABSLNN50ET-EQ,ABSLNN50ET,7339
ABSLPSE-EQ,ABSLPSE,23806
ACC-EQ,ACC,22
ACCELYA-EQ,ACCELYA,7053
ACCURACY-EQ,ACCURACY,1465
ACE-EQ,ACE,13587
ACEINTEG-EQ,ACEINTEG,11779
ACI-EQ,ACI,12024
ACL-EQ,ACL,15420
ACLGATI-EQ,ACLGATI,13688
ACMESOLAR-EQ,ACMESOLAR,27061
ACUTAAS-EQ,ACUTAAS,5578
ADANIENSOL-EQ,ADANIENSOL,10217
ADANIENT-EQ,ADANIENT,25
ADANIGREEN-EQ,ADANIGREEN,3563
ADANIPORTS-EQ,ADANIPORTS,15083
ADANIPOWER-EQ,ADANIPOWER,17388
ADFFOODS-EQ,ADFFOODS,19761
ADOR-EQ,ADOR,34
ADROITINFO-EQ,ADROITINFO,4953
ADSL-EQ,ADSL,14813
ADVANIHOTR-EQ,ADVANIHOTR,14745
ADVENZYMES-EQ,ADVENZYMES,18039
AEGISLOG-EQ,AEGISLOG,40
AEGISVOPAK-EQ,AEGISVOPAK,757336
AEROENTER-EQ,AEROENTER,12015
AEROFLEX-EQ,AEROFLEX,18268
AETHER-EQ,AETHER,9810
AFCONS-EQ,AFCONS,25977
AFFLE-EQ,AFFLE,11343
AFFORDABLE-EQ,AFFORDABLE,25855
AFIL-EQ,AFIL,24159
AFSL-EQ,AFSL,13288
AGARIND-EQ,AGARIND,3389
AGARWALEYE-EQ,AGARWALEYE,29452
AGI-EQ,AGI,1412
AGIIL-EQ,AGIIL,24445
AGRITECH-EQ,AGRITECH,11072
AGROPHOS-EQ,AGROPHOS,9046
AHLADA-EQ,AHLADA,2004
AHLEAST-EQ,AHLEAST,19438
AHLUCONT-EQ,AHLUCONT,17833
AIAENG-EQ,AIAENG,13086
AIIL-EQ,AIIL,23553
AIRAN-EQ,AIRAN,9897
AIROLAM-EQ,AIROLAM,6068
AJANTPHARM-EQ,AJANTPHARM,8124
AJAXENGG-EQ,AJAXENGG,29624
AJMERA-EQ,AJMERA,17307
AJOONI-EQ,AJOONI,3403
AKASH-EQ,AKASH,13510
AKG-EQ,AKG,2176
AKSHARCHEM-EQ,AKSHARCHEM,20178
AKSHOPTFBR-EQ,AKSHOPTFBR,8591
AKUMS-EQ,AKUMS,24715
AKZOINDIA-EQ,AKZOINDIA,1467
ALANKIT-EQ,ALANKIT,9921
ALBERTDAVD-EQ,ALBERTDAVD,17256
ALEMBICLTD-EQ,ALEMBICLTD,79
ALICON-EQ,ALICON,13656
ALIVUS-EQ,ALIVUS,5265
ALKALI-EQ,ALKALI,16959
ALKEM-EQ,ALKEM,11703
ALKYLAMINE-EQ,ALKYLAMINE,4487
ALLCARGO-EQ,ALLCARGO,13501
ALLDIGI-EQ,ALLDIGI,11798
