symbol,token,name,lotsize
ABAN,10,ABAN,1
SCHAEFFLER,1011,SCHAEFFLER,1
AYMSYNTEX,10285,AYMSYNTEX,1
KSHITIJPOL,10407,KSHITIJPOL,1
RAMRAT,10485,RAMRAT,1
CONS,10512,CONS,1
MOMENTUM,10693,MOMENTUM,1
OAL,10768,OAL,1
MOQUALITY,10822,MOQUALITY,1
OMAXAUTO,10922,OMAXAUTO,1
RADICO,10990,RADICO,1
SUMIT,11140,SUMIT,1
TVTODAY,11275,TVTODAY,1
BALAXI,11309,BALAXI,1
TTKHLTCARE,11369,TTKHLTCARE,1
POONAWALLA,11403,POONAWALLA,1
RKFORGE,11411,RKFORGE,1
DATAMATICS,11423,DATAMATICS,1
BANKBEES,11439,BANKBEES,1
PILANIINVS,11445,PILANIINVS,1
CCL,11452,CCL,1
HDFCMOMENT,11538,HDFCMOMENT,1
FORCEMOT,11573,FORCEMOT,1
WESTLIFE,11580,WESTLIFE,1
HDFCSENSEX,11593,HDFCSENSEX,1
WELENT,11626,WELENT,1
ALKEM,11703,ALKEM,1
JPPOWER,11763,JPPOWER,1
EVEREADY,11782,EVEREADY,1
IIFL,11809,IIFL,1
GENUSPOWER,11905,GENUSPOWER,1
RML,11975,RML,1
FIVESTAR,12032,FIVESTAR,1
HNDFDS,12173,HNDFDS,1
AAATECH,12533,AAATECH,1
VIMTALABS,13101,VIMTALABS,1
EBBETF0433,13139,EBBETF0433,1
SULA,13218,SULA,1
SADBHAV,13236,SADBHAV,1
INDOTECH,13275,INDOTECH,1
UTTAMSUGAR,13376,UTTAMSUGAR,1
SUNTV,13404,SUNTV,1
EMKAY,13421,EMKAY,1
KELLTONTEC,13430,KELLTONTEC,1
JKLAKSHMI,13491,JKLAKSHMI,1
GMRAIRPORT,13528,GMRAIRPORT,1
TECHM,13538,TECHM,1
ALICON,13656,ALICON,1
VISHWARAJ,13702,VISHWARAJ,1
BBL,13761,BBL,1
GESHIP,13776,GESHIP,1
TORNTPOWER,13786,TORNTPOWER,1
DONEAR,13839,DONEAR,1
KUANTUM,13870,KUANTUM,1
PLASTIBLEN,13920,PLASTIBLEN,1
HUBTOWN,14203,HUBTOWN,1
HDFCBSE500,14230,HDFCBSE500,1
BANSWRAS,14511,BANSWRAS,1
